client_id	round	verify_signature_ms	verify_proof_ms
0	0	0.266	0.002
1	0	0.229	0.002
2	0	0.197	0.001
3	0	0.212	0.001
4	0	0.252	0.001
5	0	0.162	0.001
6	0	0.191	0.002
7	0	0.177	0.001
8	0	0.157	0.001
9	0	0.163	0.001
10	0	0.220	0.002
11	0	0.369	0.002
12	0	0.152	0.001
13	0	0.169	0.001
14	0	0.191	0.001
15	0	0.208	0.001
16	0	0.159	0.001
17	0	0.216	0.001
18	0	0.270	0.001
19	0	0.154	0.001
20	0	0.148	0.001
21	0	0.188	0.001
22	0	0.157	0.001
23	0	0.166	0.001
24	0	0.231	0.002
25	0	0.225	0.001
26	0	0.176	0.001
27	0	0.198	0.003
28	0	0.149	0.001
29	0	0.219	0.001
30	0	0.153	0.001
31	0	0.228	0.002
32	0	0.202	0.001
33	0	0.235	0.001
34	0	0.178	0.001
35	0	0.209	0.001
36	0	0.233	0.001
37	0	0.205	0.001
38	0	0.166	0.001
39	0	0.156	0.001
40	0	0.148	0.001
41	0	0.161	0.001
42	0	0.202	0.004
43	0	0.166	0.001
44	0	0.233	0.001
45	0	0.247	0.001
46	0	0.286	0.002
47	0	0.283	0.002
48	0	0.194	0.002
49	0	0.164	0.001
50	0	0.233	0.002
51	0	0.220	0.002
52	0	0.264	0.001
53	0	0.253	0.001
54	0	0.215	0.001
55	0	0.242	0.001
56	0	0.224	0.002
57	0	0.273	0.001
58	0	0.305	0.002
59	0	0.257	0.002
60	0	0.258	0.002
61	0	0.173	0.001
62	0	0.234	0.002
63	0	0.230	0.002
64	0	0.169	0.001
65	0	0.160	0.001
66	0	0.237	0.002
67	0	0.269	0.001
68	0	0.266	0.001
69	0	0.239	0.001
70	0	0.251	0.002
71	0	0.273	0.001
72	0	0.163	0.001
73	0	0.209	0.002
74	0	0.225	0.001
75	0	0.255	0.002
76	0	0.301	0.001
77	0	0.219	0.001
78	0	0.198	0.001
79	0	0.317	0.002
80	0	0.191	0.001
81	0	0.162	0.001
82	0	0.211	0.001
83	0	0.253	0.002
84	0	0.228	0.002
85	0	0.224	0.002
86	0	0.310	0.001
87	0	0.234	0.001
88	0	0.264	0.002
89	0	0.205	0.001
90	0	0.161	0.001
91	0	0.223	0.002
92	0	0.226	0.001
93	0	0.205	0.001
94	0	0.236	0.002
95	0	0.223	0.002
96	0	0.277	0.002
97	0	0.169	0.001
98	0	0.273	0.002
99	0	0.165	0.001
0	1	0.337	0.001
1	1	0.234	0.002
2	1	0.302	0.002
3	1	0.232	0.001
4	1	0.261	0.001
5	1	0.230	0.001
6	1	0.173	0.009
7	1	0.162	0.001
8	1	0.221	0.001
9	1	0.259	0.002
10	1	0.235	0.002
11	1	0.253	0.003
12	1	0.232	0.002
13	1	0.231	0.001
14	1	0.231	0.002
15	1	0.293	0.002
16	1	0.192	0.001
17	1	0.257	0.002
18	1	0.233	0.002
19	1	0.253	0.001
20	1	0.217	0.001
21	1	0.252	0.001
22	1	0.184	0.001
23	1	0.204	0.001
24	1	0.183	0.001
25	1	0.319	0.002
26	1	0.256	0.002
27	1	0.269	0.002
28	1	0.170	0.001
29	1	0.288	0.002
30	1	0.268	0.001
31	1	0.166	0.001
32	1	0.252	0.001
33	1	0.173	0.001
34	1	0.276	0.001
35	1	0.231	0.001
36	1	0.197	0.002
37	1	0.256	0.002
38	1	0.312	0.002
39	1	0.268	0.002
40	1	0.223	0.001
41	1	0.295	0.002
42	1	0.279	0.002
43	1	0.297	0.002
44	1	0.243	0.002
45	1	0.226	0.001
46	1	0.163	0.001
47	1	0.258	0.002
48	1	0.286	0.002
49	1	0.235	0.002
50	1	0.245	0.002
51	1	0.250	0.002
52	1	0.274	0.002
53	1	0.227	0.002
54	1	0.226	0.002
55	1	0.282	0.001
56	1	0.268	0.002
57	1	0.232	0.001
58	1	0.250	0.002
59	1	0.244	0.001
60	1	0.216	0.002
61	1	0.167	0.001
62	1	0.262	0.002
63	1	0.173	0.001
64	1	0.260	0.001
65	1	0.295	0.006
66	1	0.271	0.002
67	1	0.224	0.002
68	1	0.256	0.001
69	1	0.275	0.001
70	1	0.213	0.001
71	1	0.233	0.001
72	1	0.233	0.002
73	1	0.260	0.002
74	1	0.289	0.002
75	1	0.225	0.001
76	1	0.157	0.001
77	1	0.185	0.001
78	1	0.273	0.001
79	1	0.176	0.001
80	1	0.157	0.001
81	1	0.202	0.001
82	1	0.235	0.005
83	1	0.154	0.001
84	1	0.154	0.001
85	1	0.197	0.001
86	1	0.209	0.001
87	1	0.150	0.001
88	1	0.203	0.001
89	1	0.177	0.001
90	1	0.229	0.002
91	1	0.151	0.001
92	1	0.213	0.001
93	1	0.230	0.001
94	1	0.169	0.001
95	1	0.228	0.001
96	1	0.172	0.001
97	1	0.161	0.001
98	1	0.207	0.001
99	1	0.212	0.001
0	2	0.347	0.003
1	2	0.240	0.002
2	2	0.251	0.001
3	2	0.290	0.002
4	2	0.179	0.001
5	2	0.242	0.001
6	2	0.215	0.002
7	2	0.260	0.002
8	2	0.212	0.002
9	2	0.216	0.001
10	2	0.271	0.002
11	2	0.218	0.007
12	2	0.220	0.002
13	2	0.266	0.001
14	2	0.216	0.001
15	2	0.219	0.001
16	2	0.167	0.001
17	2	0.285	0.001
18	2	0.231	0.002
19	2	0.197	0.001
20	2	0.228	0.001
21	2	0.229	0.002
22	2	0.204	0.001
23	2	0.160	0.001
24	2	0.299	0.002
25	2	0.196	0.001
26	2	0.227	0.001
27	2	0.229	0.002
28	2	0.183	0.002
29	2	0.223	0.002
30	2	0.216	0.001
31	2	0.241	0.001
32	2	0.187	0.001
33	2	0.225	0.001
34	2	0.262	0.001
35	2	0.251	0.002
36	2	0.163	0.001
37	2	0.168	0.001
38	2	0.167	0.001
39	2	0.257	0.002
40	2	0.241	0.001
41	2	0.159	0.001
42	2	0.253	0.001
43	2	0.234	0.001
44	2	0.272	0.002
45	2	0.267	0.001
46	2	0.180	0.001
47	2	0.255	0.002
48	2	0.265	0.002
49	2	0.232	0.001
50	2	0.255	0.006
51	2	0.227	0.002
52	2	0.207	0.002
53	2	0.233	0.002
54	2	0.219	0.001
55	2	0.292	0.002
56	2	0.207	0.001
57	2	0.233	0.001
58	2	0.240	0.001
59	2	0.300	0.002
60	2	0.341	0.002
61	2	0.224	0.001
62	2	0.230	0.001
63	2	0.216	0.001
64	2	0.305	0.002
65	2	0.279	0.002
66	2	0.221	0.001
67	2	0.167	0.001
68	2	0.218	0.002
69	2	0.184	0.001
70	2	0.213	0.001
71	2	0.153	0.001
72	2	0.151	0.001
73	2	0.230	0.001
74	2	0.150	0.001
75	2	0.326	0.002
76	2	0.195	0.001
77	2	0.214	0.001
78	2	0.151	0.001
79	2	0.150	0.001
80	2	0.181	0.001
81	2	0.194	0.001
82	2	0.154	0.001
83	2	0.153	0.001
84	2	0.210	0.002
85	2	0.156	0.001
86	2	0.233	0.001
87	2	0.170	0.001
88	2	0.204	0.001
89	2	0.154	0.004
90	2	0.216	0.001
91	2	0.154	0.001
92	2	0.235	0.001
93	2	0.208	0.001
94	2	0.158	0.001
95	2	0.202	0.002
96	2	0.174	0.005
97	2	0.165	0.001
98	2	0.215	0.001
99	2	0.203	0.001
0	3	0.355	0.002
1	3	0.235	0.002
2	3	0.308	0.002
3	3	0.320	0.001
4	3	0.269	0.002
5	3	0.285	0.001
6	3	0.235	0.002
7	3	0.265	0.001
8	3	0.185	0.006
9	3	0.156	0.001
10	3	0.234	0.002
11	3	0.280	0.002
12	3	0.230	0.001
13	3	0.315	0.002
14	3	0.245	0.001
15	3	0.228	0.002
16	3	0.221	0.001
17	3	0.265	0.002
18	3	0.208	0.001
19	3	0.236	0.002
20	3	0.197	0.002
21	3	0.223	0.001
22	3	0.287	0.002
23	3	0.271	0.002
24	3	0.158	0.001
25	3	0.205	0.001
26	3	0.211	0.001
27	3	0.273	0.002
28	3	0.256	0.002
29	3	0.212	0.001
30	3	0.217	0.002
31	3	0.262	0.001
32	3	0.221	0.001
33	3	0.285	0.002
34	3	0.280	0.001
35	3	0.241	0.001
36	3	0.225	0.001
37	3	0.246	0.002
38	3	0.231	0.002
39	3	0.227	0.001
40	3	0.294	0.001
41	3	0.232	0.001
42	3	0.283	0.002
43	3	0.274	0.002
44	3	0.213	0.002
45	3	0.154	0.001
46	3	0.154	0.001
47	3	0.154	0.001
48	3	0.170	0.001
49	3	0.169	0.001
50	3	0.273	0.002
51	3	0.245	0.001
52	3	0.204	0.002
53	3	0.246	0.002
54	3	0.268	0.002
55	3	0.300	0.002
56	3	0.258	0.001
57	3	0.187	0.001
58	3	0.171	0.001
59	3	0.261	0.002
60	3	0.293	0.003
61	3	0.199	0.001
62	3	0.204	0.001
63	3	0.225	0.001
64	3	0.235	0.001
65	3	0.279	0.002
66	3	0.226	0.001
67	3	0.265	0.002
68	3	0.254	0.001
69	3	0.234	0.005
70	3	0.231	0.002
71	3	0.153	0.001
72	3	0.187	0.001
73	3	0.153	0.001
74	3	0.152	0.001
75	3	0.163	0.001
76	3	0.265	0.002
77	3	0.219	0.001
78	3	0.220	0.002
79	3	0.183	0.001
80	3	0.254	0.001
81	3	0.250	0.002
82	3	0.152	0.002
83	3	0.171	0.001
84	3	0.290	0.002
85	3	0.151	0.001
86	3	0.219	0.001
87	3	0.196	0.005
88	3	0.296	0.001
89	3	0.216	0.001
90	3	0.156	0.001
91	3	0.174	0.001
92	3	0.153	0.001
93	3	0.224	0.002
94	3	0.253	0.001
95	3	0.169	0.001
96	3	0.157	0.001
97	3	0.153	0.001
98	3	0.211	0.001
99	3	0.157	0.001
0	4	0.327	0.001
1	4	0.249	0.001
2	4	0.338	0.001
3	4	0.344	0.001
4	4	0.240	0.001
5	4	0.235	0.001
6	4	0.155	0.001
7	4	0.253	0.002
8	4	0.305	0.001
9	4	0.210	0.001
10	4	0.226	0.002
11	4	0.221	0.002
12	4	0.231	0.002
13	4	0.159	0.001
14	4	0.206	0.002
15	4	0.184	0.001
16	4	0.164	0.001
17	4	0.255	0.002
18	4	0.227	0.002
19	4	0.222	0.002
20	4	0.247	0.001
21	4	0.247	0.002
22	4	0.217	0.002
23	4	0.283	0.001
24	4	0.178	0.001
25	4	0.227	0.001
26	4	0.236	0.002
27	4	0.219	0.002
28	4	0.287	0.001
29	4	0.160	0.001
30	4	0.163	0.001
31	4	0.186	0.002
32	4	0.273	0.001
33	4	0.225	0.001
34	4	0.198	0.001
35	4	0.264	0.002
36	4	0.271	0.002
37	4	0.157	0.001
38	4	0.162	0.001
39	4	0.164	0.001
40	4	0.217	0.001
41	4	0.212	0.001
42	4	0.228	0.002
43	4	0.164	0.001
44	4	0.242	0.001
45	4	0.234	0.001
46	4	0.206	0.002
47	4	0.249	0.003
48	4	0.240	0.002
49	4	0.247	0.002
50	4	0.213	0.001
51	4	0.164	0.001
52	4	0.158	0.001
53	4	0.164	0.001
54	4	0.215	0.002
55	4	0.254	0.002
56	4	0.173	0.001
57	4	0.254	0.001
58	4	0.254	0.002
59	4	0.232	0.001
60	4	0.215	0.001
61	4	0.222	0.002
62	4	0.264	0.002
63	4	0.316	0.002
64	4	0.243	0.002
65	4	0.279	0.002
66	4	0.290	0.002
67	4	0.244	0.001
68	4	0.200	0.001
69	4	0.250	0.002
70	4	0.226	0.001
71	4	0.222	0.001
72	4	0.255	0.002
73	4	0.229	0.002
74	4	0.270	0.002
75	4	0.169	0.001
76	4	0.249	0.002
77	4	0.153	0.001
78	4	0.188	0.001
79	4	0.166	0.001
80	4	0.162	0.001
81	4	0.151	0.001
82	4	0.255	0.001
83	4	0.155	0.001
84	4	0.186	0.001
85	4	0.232	0.002
86	4	0.274	0.001
87	4	0.233	0.002
88	4	0.156	0.001
89	4	0.273	0.002
90	4	0.225	0.002
91	4	0.237	0.002
92	4	0.219	0.001
93	4	0.265	0.002
94	4	0.222	0.025
95	4	0.234	0.003
96	4	0.207	0.022
97	4	0.246	0.002
98	4	0.177	0.001
99	4	0.323	0.002
0	0	0.406	0.004
1	0	0.233	0.001
2	0	0.247	0.001
3	0	0.266	0.001
4	0	0.289	0.002
5	0	0.240	0.001
6	0	0.196	0.001
7	0	0.264	0.001
8	0	0.167	0.001
9	0	0.180	0.001
10	0	0.167	0.001
11	0	0.235	0.002
12	0	0.234	0.001
13	0	0.251	0.002
14	0	0.222	0.001
15	0	0.289	0.001
16	0	0.237	0.001
17	0	0.264	0.005
18	0	0.258	0.003
19	0	0.294	0.001
20	0	0.306	0.002
21	0	0.267	0.001
22	0	0.160	0.001
23	0	0.165	0.001
24	0	0.342	0.001
25	0	0.171	0.001
26	0	0.348	0.002
27	0	0.169	0.001
28	0	0.264	0.002
29	0	0.255	0.001
30	0	0.279	0.002
31	0	0.284	0.001
32	0	0.336	0.002
33	0	0.220	0.001
34	0	0.395	0.001
35	0	0.213	0.001
36	0	0.297	0.002
37	0	0.212	0.001
38	0	0.333	0.002
39	0	0.228	0.002
40	0	0.207	0.001
41	0	0.241	0.002
42	0	0.257	0.002
43	0	0.194	0.001
44	0	0.263	0.001
45	0	0.295	0.002
46	0	0.319	0.001
47	0	0.375	0.003
48	0	0.275	0.001
49	0	0.253	0.001
50	0	0.301	0.001
51	0	0.343	0.002
52	0	0.226	0.001
53	0	0.263	0.002
54	0	0.182	0.004
55	0	0.187	0.001
56	0	0.257	0.002
57	0	0.266	0.002
58	0	0.242	0.002
59	0	0.264	0.002
60	0	0.265	0.001
61	0	0.330	0.002
62	0	0.241	0.001
63	0	0.282	0.001
64	0	0.165	0.001
65	0	0.155	0.001
66	0	0.237	0.001
67	0	0.164	0.001
68	0	0.195	0.001
69	0	0.281	0.001
70	0	0.377	0.002
71	0	0.162	0.001
72	0	0.214	0.001
73	0	0.214	0.001
74	0	0.282	0.001
75	0	0.272	0.002
76	0	0.195	0.001
77	0	0.162	0.001
78	0	0.155	0.001
79	0	0.201	0.002
80	0	0.232	0.001
81	0	0.176	0.001
82	0	0.163	0.001
83	0	0.288	0.002
84	0	0.185	0.001
85	0	0.246	0.002
86	0	0.161	0.001
87	0	0.219	0.001
88	0	0.290	0.001
89	0	0.208	0.001
90	0	0.266	0.001
91	0	0.283	0.001
92	0	0.182	0.001
93	0	0.176	0.001
94	0	0.218	0.001
95	0	0.211	0.001
96	0	0.218	0.001
97	0	0.343	0.002
98	0	0.155	0.001
99	0	0.226	0.001
0	1	0.333	0.001
1	1	0.248	0.001
2	1	0.261	0.002
3	1	0.154	0.001
4	1	0.240	0.001
5	1	0.186	0.001
6	1	0.234	0.001
7	1	0.282	0.002
8	1	0.268	0.003
9	1	0.269	0.002
10	1	0.296	0.002
11	1	0.223	0.002
12	1	0.272	0.002
13	1	0.210	0.001
14	1	0.287	0.001
15	1	0.172	0.001
16	1	0.312	0.002
17	1	0.270	0.001
18	1	0.219	0.002
19	1	0.167	0.001
20	1	0.243	0.001
21	1	0.234	0.001
22	1	0.241	0.002
23	1	0.447	0.002
24	1	0.231	0.001
25	1	0.285	0.002
26	1	0.163	0.001
27	1	0.274	0.002
28	1	0.268	0.001
29	1	0.306	0.002
30	1	0.254	0.002
31	1	0.269	0.002
32	1	0.249	0.002
33	1	0.190	0.001
34	1	0.268	0.006
35	1	0.309	0.003
36	1	0.255	0.002
37	1	0.229	0.001
38	1	0.175	0.001
39	1	0.312	0.002
40	1	0.253	0.001
41	1	0.262	0.002
42	1	0.157	0.001
43	1	0.306	0.002
44	1	0.287	0.001
45	1	0.244	0.002
46	1	0.276	0.001
47	1	0.262	0.001
48	1	0.273	0.002
49	1	0.222	0.002
50	1	0.319	0.002
51	1	0.304	0.002
52	1	0.248	0.001
53	1	0.229	0.002
54	1	0.278	0.002
55	1	0.244	0.001
56	1	0.281	0.001
57	1	0.277	0.002
58	1	0.245	0.001
59	1	0.228	0.001
60	1	0.223	0.001
61	1	0.252	0.001
62	1	0.163	0.001
63	1	0.260	0.002
64	1	0.315	0.001
65	1	0.259	0.002
66	1	0.229	0.002
67	1	0.256	0.001
68	1	0.238	0.002
69	1	0.170	0.001
70	1	0.208	0.001
71	1	0.199	0.001
72	1	0.236	0.001
73	1	0.202	0.001
74	1	0.157	0.001
75	1	0.293	0.002
76	1	0.175	0.001
77	1	0.151	0.001
78	1	0.216	0.001
79	1	0.265	0.001
80	1	0.253	0.001
81	1	0.243	0.001
82	1	0.159	0.001
83	1	0.216	0.001
84	1	0.273	0.003
85	1	0.158	0.001
86	1	0.199	0.001
87	1	0.158	0.001
88	1	0.213	0.002
89	1	0.300	0.002
90	1	0.250	0.001
91	1	0.247	0.002
92	1	0.213	0.002
93	1	0.219	0.001
94	1	0.162	0.001
95	1	0.160	0.001
96	1	0.207	0.001
97	1	0.157	0.001
98	1	0.184	0.004
99	1	0.171	0.001
0	2	0.348	0.002
1	2	0.237	0.008
2	2	0.243	0.002
3	2	0.230	0.001
4	2	0.220	0.001
5	2	0.168	0.001
6	2	0.283	0.001
7	2	0.271	0.002
8	2	0.172	0.003
9	2	0.258	0.001
10	2	0.264	0.002
11	2	0.242	0.002
12	2	0.219	0.001
13	2	0.182	0.001
14	2	0.242	0.001
15	2	0.235	0.002
16	2	0.246	0.001
17	2	0.226	0.001
18	2	0.294	0.002
19	2	0.268	0.002
20	2	0.240	0.002
21	2	0.173	0.001
22	2	0.242	0.001
23	2	0.233	0.001
24	2	0.274	0.002
25	2	0.252	0.002
26	2	0.225	0.001
27	2	0.241	0.002
28	2	0.303	0.001
29	2	0.169	0.001
30	2	0.279	0.001
31	2	0.307	0.002
32	2	0.227	0.001
33	2	0.226	0.002
34	2	0.389	0.002
35	2	0.222	0.002
36	2	0.285	0.002
37	2	0.156	0.001
38	2	0.157	0.001
39	2	0.164	0.001
40	2	0.204	0.001
41	2	0.213	0.001
42	2	0.203	0.001
43	2	0.303	0.003
44	2	0.185	0.001
45	2	0.229	0.001
46	2	0.211	0.001
47	2	0.212	0.002
48	2	0.182	0.001
49	2	0.212	0.001
50	2	0.204	0.001
51	2	0.290	0.001
52	2	0.210	0.001
53	2	0.219	0.001
54	2	0.199	0.001
55	2	0.178	0.001
56	2	0.209	0.001
57	2	0.166	0.001
58	2	0.172	0.001
59	2	0.211	0.001
60	2	0.156	0.001
61	2	0.227	0.001
62	2	0.239	0.001
63	2	0.190	0.001
64	2	0.162	0.001
65	2	0.241	0.001
66	2	0.171	0.001
67	2	0.159	0.001
68	2	0.171	0.001
69	2	0.223	0.001
70	2	0.234	0.001
71	2	0.284	0.001
72	2	0.304	0.002
73	2	0.155	0.001
74	2	0.555	0.002
75	2	0.164	0.001
76	2	0.155	0.001
77	2	0.220	0.002
78	2	0.245	0.002
79	2	0.283	0.001
80	2	0.170	0.001
81	2	0.300	0.001
82	2	0.154	0.001
83	2	0.152	0.001
84	2	0.295	0.002
85	2	0.188	0.001
86	2	0.172	0.003
87	2	0.244	0.001
88	2	0.240	0.004
89	2	0.225	0.001
90	2	0.159	0.001
91	2	0.253	0.001
92	2	0.170	0.001
93	2	0.278	0.002
94	2	0.177	0.001
95	2	0.316	0.002
96	2	0.252	0.001
97	2	0.257	0.002
98	2	0.248	0.001
99	2	0.263	0.001
0	3	0.261	0.001
1	3	0.281	0.001
2	3	0.264	0.001
3	3	0.219	0.001
4	3	0.159	0.001
5	3	0.201	0.001
6	3	0.262	0.001
7	3	0.227	0.002
8	3	0.234	0.001
9	3	0.187	0.001
10	3	0.157	0.001
11	3	0.306	0.002
12	3	0.182	0.001
13	3	0.155	0.001
14	3	0.228	0.002
15	3	0.254	0.002
16	3	0.182	0.001
17	3	0.210	0.001
18	3	0.168	0.001
19	3	0.163	0.001
20	3	0.174	0.001
21	3	0.270	0.001
22	3	0.231	0.001
23	3	0.232	0.001
24	3	0.207	0.001
25	3	0.365	0.002
26	3	0.253	0.002
27	3	0.245	0.001
28	3	0.228	0.001
29	3	0.226	0.001
30	3	0.292	0.002
31	3	0.232	0.001
32	3	0.286	0.002
33	3	0.283	0.001
34	3	0.220	0.002
35	3	0.303	0.001
36	3	0.228	0.001
37	3	0.216	0.001
38	3	0.235	0.006
39	3	0.239	0.001
40	3	0.279	0.002
41	3	0.286	0.001
42	3	0.306	0.002
43	3	0.246	0.001
44	3	0.238	0.001
45	3	0.214	0.001
46	3	0.265	0.001
47	3	0.233	0.001
48	3	0.266	0.001
49	3	0.228	0.001
50	3	0.205	0.001
51	3	0.173	0.001
52	3	0.279	0.002
53	3	0.277	0.002
54	3	0.253	0.001
55	3	0.216	0.001
56	3	0.299	0.002
57	3	0.224	0.001
58	3	0.270	0.001
59	3	0.274	0.002
60	3	0.229	0.001
61	3	0.224	0.001
62	3	0.213	0.001
63	3	0.255	0.002
64	3	0.317	0.010
65	3	0.274	0.001
66	3	0.254	0.001
67	3	0.206	0.001
68	3	0.354	0.002
69	3	0.278	0.002
70	3	0.234	0.001
71	3	0.279	0.001
72	3	0.310	0.002
73	3	0.251	0.001
74	3	0.228	0.001
75	3	0.242	0.001
76	3	0.303	0.002
77	3	0.179	0.001
78	3	0.190	0.001
79	3	0.214	0.001
80	3	0.157	0.001
81	3	0.195	0.001
82	3	0.263	0.002
83	3	0.155	0.001
84	3	0.181	0.001
85	3	0.193	0.001
86	3	0.196	0.001
87	3	0.251	0.001
88	3	0.244	0.002
89	3	0.154	0.001
90	3	0.215	0.001
91	3	0.162	0.001
92	3	0.169	0.001
93	3	0.232	0.002
94	3	0.220	0.001
95	3	0.231	0.001
96	3	0.168	0.001
97	3	0.213	0.001
98	3	0.194	0.001
99	3	0.271	0.001
0	4	0.255	0.001
1	4	0.218	0.007
2	4	0.261	0.001
3	4	0.160	0.001
4	4	0.234	0.001
5	4	0.262	0.002
6	4	0.200	0.001
7	4	0.241	0.001
8	4	0.196	0.001
9	4	0.290	0.001
10	4	0.207	0.001
11	4	0.262	0.002
12	4	0.239	0.002
13	4	0.186	0.001
14	4	0.254	0.001
15	4	0.155	0.001
16	4	0.157	0.001
17	4	0.174	0.001
18	4	0.184	0.001
19	4	0.168	0.001
20	4	0.201	0.002
21	4	0.161	0.001
22	4	0.160	0.001
23	4	0.204	0.001
24	4	0.245	0.001
25	4	0.154	0.001
26	4	0.193	0.001
27	4	0.215	0.001
28	4	0.224	0.001
29	4	0.250	0.002
30	4	0.179	0.001
31	4	0.302	0.002
32	4	0.160	0.001
33	4	0.171	0.001
34	4	0.180	0.001
35	4	0.224	0.001
36	4	0.288	0.001
37	4	0.208	0.001
38	4	0.357	0.002
39	4	0.214	0.001
40	4	0.245	0.001
41	4	0.273	0.002
42	4	0.226	0.001
43	4	0.261	0.001
44	4	0.171	0.001
45	4	0.281	0.002
46	4	0.204	0.001
47	4	0.304	0.002
48	4	0.231	0.002
49	4	0.271	0.002
50	4	0.259	0.010
51	4	0.251	0.003
52	4	0.233	0.001
53	4	0.225	0.001
54	4	0.187	0.001
55	4	0.232	0.002
56	4	0.204	0.001
57	4	0.274	0.001
58	4	0.187	0.001
59	4	0.322	0.003
60	4	0.234	0.002
61	4	0.231	0.001
62	4	0.281	0.002
63	4	0.224	0.001
64	4	0.165	0.001
65	4	0.259	0.001
66	4	0.226	0.001
67	4	0.315	0.001
68	4	0.188	0.001
69	4	0.281	0.001
70	4	0.285	0.002
71	4	0.250	0.002
72	4	0.223	0.001
73	4	0.239	0.002
74	4	0.223	0.001
75	4	0.332	0.002
76	4	0.232	0.001
77	4	0.228	0.001
78	4	0.237	0.001
79	4	0.225	0.001
80	4	0.253	0.002
81	4	0.276	0.001
82	4	0.232	0.001
83	4	0.236	0.002
84	4	0.235	0.002
85	4	0.212	0.001
86	4	0.289	0.001
87	4	0.250	0.001
88	4	0.214	0.002
89	4	0.227	0.003
90	4	0.249	0.002
91	4	0.235	0.001
92	4	0.286	0.002
93	4	0.287	0.001
94	4	0.165	0.001
95	4	0.159	0.001
96	4	0.212	0.001
97	4	0.175	0.001
98	4	0.154	0.001
99	4	0.176	0.001
